"name","ncaa_name","reference_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
"Southeast Mo. State","Southeast Mo. St.","Southeast Missouri State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southeast-mo-st.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#C8102E","#000000",NA,NA,"#a51341","#000000"
"Southeastern Louisiana Lions","Southeastern La.","Southeastern Louisiana","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southeastern-la.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#006341","#EAAA00",NA,NA,"#002649","#ffffff"
"Southern California Trojans","Southern California","Southern California ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-california.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#FFC72C","#990000","#FFC72C",NA,"#1d4b8c","#000000"
"Southern Illinois","Southern Ill.","Southern Illinois","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-ill.svg","MVC","MVC","https://sportslogohistory.com/wp-content/uploads/2018/03/missouri_valley_conference_logo.png","#720000","#000000",NA,NA,"#e51636","#18468b"
"Southern Mississippi Golden Eagles","Southern Miss.","Southern Mississippi","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-miss.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#000000","#FFAB00",NA,NA,"#003865","#A6192E"
"Southern U.","Southern U.","Southern","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-u.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#69B3E7","#FFC72C",NA,NA,"#ed192d","#000000"
"Southern Utah Thunderbirds","Southern Utah","Southern Utah","https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Southern_Utah_Thunderbirds_logo.svg/640px-Southern_Utah_Thunderbirds_logo.svg.png","Big Sky","Big Sky","https://sportslogohistory.com/wp-content/uploads/2019/05/big_sky_conference_2013-pres.png","#000000","#ffffff",NA,NA,"#015dab","#70CEE4"
"Stanford Cardinal","St. Bonaventure","St. Bonaventure ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-bonaventure.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#8C1515","#ffffff","#4D4F53","#2E2D29","#cf352a","#000000"
"Stetson Hatters","St. Francis Brooklyn","St. Francis Brooklyn","https://cdn.usteamcolors.com/images/ncaa/division-1/st-francis-brooklyn-terriers-logo.png","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#006747","#B58150","#9E652E","#000000","#0d67a4","#231f20"
"Stony Brook Seawolves","Stony Brook","Stony Brook","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stony-brook.svg","America East","Am. East","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png","#990000","#16243E","#828282",NA,"#141b4d","#00b5e2"
"Stanford","Stanford","Stanford","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stanford.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#8C1515","#ffffff","#4D4F53","#2E2D29","#1d4b8c","#000000"
"Stetson","Stetson","Stetson","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stetson.svg","ASUN","A-Sun","https://sportslogohistory.com/wp-content/uploads/2019/10/atlantic_sun_conference_2016-pres.png","#006747","#B58150","#9E652E","#000000","#424448","#F1E44C"
"Savannah St.","Savannah St.","Savannah St.","https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Savannah_State_Tigers_logo.svg/400px-Savannah_State_Tigers_logo.svg.png","MEAC","MEAC","https://fbschedules.com/wp-content/uploads/2019/07/meac.png","#F24D17","#002294",NA,NA,"#481a72","#f7b04d"
"Syracuse Orange","Syracuse","Syracuse ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/syracuse.svg","ACC","ACC","https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png","#D44500","#3E3D3C","#6F777D","#ADB3B8","#204c88","#A8A9AB"
