Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Maryland-Eastern Shore,North Carolina A&T,North Carolina A&T,2025-12-12,-9,0.799349248712378,132.080514793631
Alabama,Arizona,Alabama,2025-12-13,6.3,0.294264839866981,173.133580022073
Alabama,Arizona,Arizona,2025-12-13,-6.3,0.705735160133019,173.133580022073
Arizona,Alabama,Arizona,2025-12-13,-6.3,0.705735160133019,173.133580022073
Arizona,Alabama,Alabama,2025-12-13,6.3,0.294264839866981,173.133580022073
Gonzaga,UCLA,Gonzaga,2025-12-13,-5.2,0.682314988543709,146.695806915073
Gonzaga,UCLA,UCLA,2025-12-13,5.2,0.317685011456291,146.695806915073
UCLA,Gonzaga,UCLA,2025-12-13,5.2,0.317685011456291,146.695806915073
UCLA,Gonzaga,Gonzaga,2025-12-13,-5.2,0.682314988543709,146.695806915073
NC State,Kansas,NC State,2025-12-13,-0.4,0.515379552382217,150.071062669513
NC State,Kansas,Kansas,2025-12-13,0.4,0.484620447617783,150.071062669513
Kansas,NC State,Kansas,2025-12-13,0.4,0.484620447617783,150.071062669513
Kansas,NC State,NC State,2025-12-13,-0.4,0.515379552382217,150.071062669513
Arkansas,Texas Tech,Arkansas,2025-12-13,-1.8,0.564603832122417,152.537190430597
Arkansas,Texas Tech,Texas Tech,2025-12-13,1.8,0.435396167877583,152.537190430597
Texas Tech,Arkansas,Texas Tech,2025-12-13,1.8,0.435396167877583,152.537190430597
Texas Tech,Arkansas,Arkansas,2025-12-13,-1.8,0.564603832122417,152.537190430597
Illinois,Nebraska,Illinois,2025-12-13,-10.6,0.832292270435735,153.20613798781
Illinois,Nebraska,Nebraska,2025-12-13,10.6,0.167707729564265,153.20613798781
Nebraska,Illinois,Nebraska,2025-12-13,10.6,0.167707729564265,153.20613798781
Nebraska,Illinois,Illinois,2025-12-13,-10.6,0.832292270435735,153.20613798781
Cincinnati,Georgia,Cincinnati,2025-12-13,7,0.270380450165454,155.665388411959
Cincinnati,Georgia,Georgia,2025-12-13,-7,0.729619549834546,155.665388411959
Georgia,Cincinnati,Georgia,2025-12-13,-7,0.729619549834546,155.665388411959
Georgia,Cincinnati,Cincinnati,2025-12-13,7,0.270380450165454,155.665388411959
